Country,Broadcaster,Artist,Song,Language,Songwriter(s)
Albania,RTSH,Adrian Lulgjuraj and Bledar Sejko,"""Identitet""",Albanian,Bledar SejkoEda Sejko
Armenia,AMPTV,Dorians,"""Lonely Planet""",English,Tony IommiVardan Zadoyan
Austria,ORF,Natália Kelly,"""Shine""",English,Andreas GrassAlexander KahrNatália KellyNikola Paryla
Azerbaijan,İTV,Farid Mammadov,"""Hold Me""",English,John BallardRalph CharlieDimitris Kontopoulos
Belarus,BTRC,Alyona Lanskaya,"""Solayoh""",English,Martin KingMarc Paelinck
Belgium,RTBF,Roberto Bellarosa,"""Love Kills""",English,Jukka ImmonenIain James
Bulgaria,BNT,Elitsa Todorova and Stoyan Yankoulov,"""Samo shampioni"" (Само шампиони)",Bulgarian,Kristian TalevElitsa Todorova
Croatia,HRT,Klapa s Mora,"""Mižerja""",Croatian,Goran Topolovac
Cyprus,CyBC,Despina Olympiou,"""An me thimasai"" (Aν με θυμάσαι)",Greek,Andreas GiorgallisZenon Zindilis
Denmark,DR,Emmelie de Forest,"""Only Teardrops""",English,Lise CabbleJulia Fabrin JakobsenThomas Stengaard
Estonia,ERR,Birgit,"""Et uus saaks alguse""",Estonian,Mihkel MattisenSilvia Soro
Finland,Yle,Krista Siegfrids,"""Marry Me""",English,Kristoffer KarlssonJessica LundströmErik NyholmKrista Siegfrids
France,France Télévisions,Amandine Bourgeois,"""L'enfer et moi""",French,Boris BergmanDavid Salkin
Georgia,GPB,Nodi Tatishvili and Sophie Gelovani,"""Waterfall""",English,Erik BernholmThomas G:son
Germany,NDR[a],Cascada,"""Glorious""",English,Andres BallinasTony CornelissenYann PeiferManuel Reuter
Greece,ERT,Koza Mostra feat. Agathon Iakovidis,"""Alcohol Is Free""",Greek,Ilias KozasStathis Pachidis
Hungary,MTVA,ByeAlex,"""Kedvesem"" (Zoohacker Remix)",Hungarian,Alex MártaZoltán Palásti Kovács
Iceland,RÚV,Eythor Ingi,"""Ég á líf""",Icelandic,Örlygur SmáriPétur Örn Guðmundsson
Ireland,RTÉ,Ryan Dolan,"""Only Love Survives""",English,Wez DevineRyan Dolan
Israel,IBA,Moran Mazor,"""Rak Bishvilo"" (רק בשבילו)",Hebrew,Chen HarariGal Sarig
Italy,RAI,Marco Mengoni,"""L'essenziale""",Italian,Roberto CasalinoFrancesco De BenedittisMarco Mengoni
Latvia,LTV,PeR,"""Here We Go""",English,Arturas BurkeRalfs Eilands
Lithuania,LRT,Andrius Pojavis,"""Something""",English,Andrius Pojavis
Macedonia,MRT,Esma and Lozano,"""Pred da se razdeni"" (Пред да се раздени)","Macedonian, Romani",Simeon AtanasovMagdalena CvetkovskaLazar CvetkoskiDarko Dimitrov
Malta,PBS,Gianluca,"""Tomorrow""",English,Boris CezekDean Muscat
Moldova,TRM,Aliona Moon,"""O mie""",Romanian,Pasha ParfenyYuliana Scutaru
Montenegro,RTCG,Who See[b],"""Igranka"" (Игранка)",Montenegrin,Dejan DedovićMario ĐorđevićĐorđe Miljenović
Netherlands,TROS,Anouk,"""Birds""",English,Martin GjerstadTore JohanssonAnouk Teeuwe
Norway,NRK,Margaret Berger,"""I Feed You My Love""",English,Robin LynchNiklas OlovsonKarin Park
Romania,TVR,Cezar,"""It's My Life""",English,Cristian Faur
Russia,C1R,Dina Garipova,"""What If""",English,Gabriel AlaresJoakim BjörnbergLeonid Gutkin
San Marino,SMRTV,Valentina Monetta,"""Crisalide (Vola)""",Italian,Mauro BalestriRalph Siegel
Serbia,RTS,Moje 3,"""Ljubav je svuda"" (Љубав је свуда)",Serbian,Saša Milošević MareMarina Tucaković
Slovenia,RTVSLO,Hannah,"""Straight into Love""",English,Hannah ManciniErik MarganMarko PrimužakMatija RodićGregor Zemljič
Spain,RTVE,ESDM,"""Contigo hasta el final""",Spanish,David FeitoRaquel del RosarioJuan Luis Suárez
Sweden,SVT,Robin Stjernberg,"""You""",English,Joy DebLinnea DebJoakim Harestad HaukaasRobin Stjernberg
Switzerland,SRG SSR,Takasa,"""You and Me""",English,Roman CamenzindFred HerrmannGeorg Schlunegger
Ukraine,NTU,Zlata Ognevich,"""Gravity""",English,Karen KavaleryanMikhail Nekrasov
United Kingdom,BBC,Bonnie Tyler,"""Believe in Me""",English,Christopher BraideDesmond ChildLauren Christy
