id,name,gender,nr_of_movies
1,George Lucas,2,6
7,Andrew Stanton,2,4
8,Lee Unkrich,2,2
13,Albert Brooks,2,2
24,Robert Zemeckis,2,18
31,Tom Hanks,2,1
35,Sally Field,1,1
39,Sam Mendes,2,8
40,Orson Welles,2,7
42,Lars von Trier,2,11
43,John Fawcett,2,2
59,Luc Besson,2,11
68,Fritz Lang,2,11
70,Karl Freund,2,1
90,Isabel Coixet,1,5
98,Sarah Polley,1,3
108,Peter Jackson,2,14
138,Quentin Tarantino,2,11
150,RZA,2,1
154,Walter Murch,2,1
160,Eytan Fox,2,1
172,Michael Winterbottom,2,8
185,Katsuhiro Otomo,2,1
187,Tensai Okamura,2,1
190,Clint Eastwood,2,20
197,David Silverman,2,1
201,Michel Gondry,2,7
202,Charlie Kaufman,2,3
212,David Cross,2,1
223,Alejandro González Iñárritu,2,6
224,David Cronenberg,2,14
228,Ed Harris,2,1
240,Stanley Kubrick,2,13
273,Guillermo Arriaga,2,1
280,Terry Gilliam,2,11
309,Pedro Almodóvar,2,18
323,Curtis Hanson,2,6
357,Hany Abu-Assad,2,2
366,James Mangold,2,10
372,Tom Stoppard,2,1
380,Robert De Niro,2,1
449,Jay Baruchel,2,1
455,Paul Haggis,2,2
468,Stephen Daldry,2,5
488,Steven Spielberg,2,30
504,Tim Robbins,2,2
508,David Koepp,2,4
510,Tim Burton,2,18
518,Danny DeVito,2,3
525,Christopher Nolan,2,11
559,Wally Pfister,2,1
564,Richard Linklater,2,13
578,Ridley Scott,2,21
607,Zhang Yimou,2,6
608,Hayao Miyazaki,2,12
628,Isao Takahata,2,5
638,Michael Mann,2,8
640,Chris Kentis,2,2
642,Laura Lau,1,1
648,Philip Kaufman,2,2
664,Frank Marshall,2,2
672,Oskar Roehler,2,1
686,Willard Huyck,2,3
687,Gloria Katz,1,1
716,Emile Ardolino,2,3
769,Martin Brest,2,5
774,Daniel Petrie Jr.,2,1
793,Luis Buñuel,2,7
814,Tony Kaye,2,2
819,Edward Norton,2,1
834,Otto Preminger,2,6
865,Michael Bay,2,15
876,Jonathan Hensleigh,2,1
879,Billy Bob Thornton,2,1
880,Ben Affleck,2,5
893,Tony Scott,2,12
898,Mark Goldblatt,2,1
956,Guy Ritchie,2,9
957,Matthew Vaughn,2,7
974,Dexter Fletcher,2,3
1011,Susanne Bier,1,3
1012,Anders Thomas Jensen,2,4
1032,Martin Scorsese,2,20
1035,Paul Schrader,2,5
1038,Jodie Foster,1,2
1044,Michael Chapman,2,1
1071,Tom Tykwer,2,4
1090,John McTiernan,2,8
1103,Bill Duke,2,1
1108,Shane Black,2,4
1114,Jon Harris,2,1
1126,Krzysztof Kieślowski,2,3
1128,Agnieszka Holland,1,3
1146,Julie Delpy,1,3
1150,Brian De Palma,2,13
1152,Oliver Stone,2,10
1176,Lone Scherfig,1,6
1188,Kim Ki-duk,2,4
1201,Garry Marshall,2,12
1215,Raja Gosnell,2,7
1223,Joel Coen,2,17
1224,Ethan Coen,2,8
1233,Philip Seymour Hoffman,2,1
1241,John Turturro,2,2
1243,Woody Allen,2,31
1255,David Mamet,2,3
1269,Kevin Costner,2,2
1270,Charles Martin Smith,2,3
1333,Andy Serkis,2,1
1357,Christopher Doyle,2,1
1414,Goro Miyazaki,2,2
1418,Albert Maysles,2,1
1426,Ellen Giffard,1,1
1461,George Clooney,2,6
1496,Tod Browning,2,3
1524,Harold Ramis,2,3
1532,Bill Murray,2,1
1577,Richard Kelly,2,3
1579,Maggie Gyllenhaal,1,1
1614,Ang Lee,2,10
1650,François Truffaut,2,14
1704,Gore Verbinski,2,8
1707,Stuart Beattie,2,2
1723,Walter Hill,2,8
1724,Roger Spottiswoode,2,6
1726,Steven E. de Souza,2,1
1744,Robert Wise,2,13
1748,William Shatner,2,2
1749,Leonard Nimoy,2,3
1769,Sofia Coppola,1,7
1776,Francis Ford Coppola,2,13
1777,Ross Katz,2,1
1788,Nicholas Meyer,2,4
1843,Thomas Jahn,2,1
1867,Auguste Lumière,2,1
1868,Louis Lumière,2,8
1869,Sönke Wortmann,2,2
1884,Steven Soderbergh,2,21
1895,Carl Reiner,2,4
1896,Don Cheadle,2,1
1899,Denise Di Novi,1,1
1901,Caroline Thompson,1,1
1921,George Nolfi,2,2
1927,Blake Edwards,2,6
1961,Claude Pinoteau,2,3
1963,Danièle Thompson,1,1
1978,Iain Softley,2,5
2000,Lewis Milestone,2,3
2004,George Abbott,2,1
2034,Danny Boyle,2,11
2036,Alex Garland,2,3
2042,Stephen Hopkins,2,4
2053,Bill Paxton,2,1
2087,Richard Fleischer,2,9
2127,James Wan,2,9
2128,Leigh Whannell,2,3
2152,Alan Ball,2,1
2163,Richard LaGravenese,2,5
2171,Griffin Dunne,2,1
2176,Tommy Lee Jones,2,3
2178,Forest Whitaker,2,2
2199,Scott Frank,2,2
2206,Samantha Morton,1,1
2209,Jan de Bont,2,4
2216,Gary Rydstrom,2,1
2226,Sydney Pollack,2,8
2228,Sean Penn,2,1
2239,Anthony Minghella,2,3
2260,Steven Zaillian,2,2
2283,Stanley Tucci,2,1
2291,Paul McGuigan,2,3
2293,Frank Miller,2,3
2294,Robert Rodriguez,2,17
2303,Wim Wenders,2,4
2332,Christian Petzold,2,3
2352,Jean-Jacques Annaud,2,6
2357,Howard Franklin,0,1
2380,David Carson,2,2
2388,Jonathan Frakes,2,4
2390,LeVar Burton,2,1
2406,Mathieu Kassovitz,2,2
2419,Jean-Pierre Jeunet,2,6
2428,Ernst Lubitsch,2,7
2460,Randall Wallace,2,4
2461,Mel Gibson,2,5
2490,Alexander Korda,2,1
2523,Stuart Baird,2,1
2559,Henri-Georges Clouzot,2,4
2632,Chris Rock,2,1
2636,Alfred Hitchcock,2,42
2662,Frank Capra,2,10
2675,Darren Lynn Bousman,2,6
2679,David Hackl,2,1
2690,Peter Weir,2,6
2710,James Cameron,2,8
2725,Rainer Werner Fassbinder,2,3
2746,Elia Kazan,2,9
2765,Nicholas Ray,2,7
2775,Corey Allen,2,1
2778,Dennis Hopper,2,1
2801,Andrzej Wajda,2,1
2836,Kimberly Peirce,3,2
2873,Anne Goursaud,1,1
2880,Emilio Estevez,2,2
2891,Josef von Sternberg,2,6
2917,James Whale,2,4
2945,Stephen Gaghan,2,1
2991,Robert Wiene,2,1
3026,Rob Reiner,2,12
3027,Stephen King,2,1
3045,P.J. Hogan,2,5
3047,Jocelyn Moorhouse,1,2
3055,David Mackenzie,2,3
3064,Peter Mullan,2,1
3092,Diane Keaton,1,1
3110,Allison Anders,1,4
3111,Alexandre Rockwell,2,2
3115,Andrzej Sekula,2,2
3125,Madonna,1,1
3146,Billy Wilder,2,15
