director_id,movie_id,known_for_department
1456058,315946,Directing
5014145,315946,Directing
935707,766094,Directing
935707,751212,Directing
1135153,585297,Directing
569209,159897,Directing
569209,16463,Directing
569209,96882,Directing
569209,16464,Directing
1454252,335765,Directing
1058108,355995,Directing
1058108,32406,Directing
1058108,355764,Directing
110348,32571,Directing
110347,32571,Directing
110347,33315,Directing
110348,33315,Directing
110461,33316,Directing
110462,33316,Directing
110347,33317,Directing
110348,33317,Directing
1742726,386743,Directing
1058108,355846,Directing
110347,33229,Directing
110348,33229,Directing
110348,33318,Directing
110347,33318,Directing
110347,104852,Directing
110348,104852,Directing
110347,355999,Directing
110348,355999,Directing
110347,355997,Directing
110348,355997,Directing
110347,355851,Directing
110348,355851,Directing
110347,355848,Directing
110348,355848,Directing
1456070,336380,Directing
1135153,312452,Directing
1135153,416258,Directing
935707,88013,Directing
935707,16622,Directing
935707,16613,Directing
110348,105153,Directing
110347,105153,Directing
1868,355936,Directing
110347,355757,Directing
110347,16624,Directing
110348,16624,Directing
110347,105160,Directing
110348,105160,Directing
935707,159896,Directing
110348,152218,Directing
110347,152218,Directing
110347,159904,Directing
110348,159904,Directing
110347,155107,Directing
110348,155107,Directing
110347,16612,Directing
110348,16612,Directing
110348,105158,Directing
110347,105158,Directing
110347,104396,Directing
110348,104396,Directing
110347,356154,Directing
110347,159895,Directing
110348,159895,Directing
1135153,154339,Directing
110347,356155,Directing
110348,356155,Directing
110348,152215,Directing
110347,152215,Directing
110347,159905,Directing
110348,159905,Directing
110347,189054,Directing
110348,189054,Directing
935707,751244,Directing
1500342,356151,Writing
1868,82120,Directing
1170484,34372,Directing
1120754,194085,Directing
110348,144410,Directing
110347,144410,Directing
1120754,194081,Directing
1170737,194081,Directing
1868,122134,Directing
110347,189056,Directing
110348,189056,Directing
1868,127777,Directing
1868,129436,Directing
11523,133063,Directing
11523,104462,Directing
1071403,147554,Directing
1868,160,Directing
1867,160,Production
110347,126413,Directing
1161489,194583,Directing
1173121,194562,Directing
1868,190560,Directing
1868,144391,Directing
11523,49296,Directing
11523,104700,Directing
11523,104702,Directing
11523,49295,Directing
11523,114108,Directing
1175916,195620,Camera
1100017,144432,Directing
1037661,179236,Directing
1037661,154171,Directing
125992,105303,Production
1175929,195626,Directing
11523,49280,Directing
1037661,1137292,Directing
1173774,193408,Directing
1037661,179235,Directing
11523,106814,Directing
11523,49279,Directing
1079361,185219,Directing
11523,49275,Directing
11523,775,Directing
11523,108292,Directing
44866,190669,Directing
11523,108278,Directing
44866,5698,Directing
11523,16465,Directing
11523,49273,Directing
11523,44449,Directing
11523,127097,Directing
11523,44335,Directing
11523,44333,Directing
11523,44324,Directing
11523,2963,Directing
11523,44330,Directing
